member_id_sha256,actual_label,predicted_label,phishing_probability,reconstructed_probability,additivity_error
4300d39657111cb0fa381c06122cf4993da4cb314cc8a0b4c85ec998ab3ad309,1,1,8.849756279571963e-06,8.844934558160933e-06,4.821721411030211e-09
38306350664a725951e2fe80e951b672b03b800bfb4354a499dfd677a1884b13,1,1,1.3947302156536168e-06,1.3882215117999586e-06,6.508703853658204e-09
e5d3f2d71de20eec3dfe4f0e5f66e7ebac9f853134bed8ab08a4fd5998509e99,1,1,2.9929980126519595e-06,2.987821415834091e-06,5.1765968178685284e-09
096bbe81b520a2bafa0aa70f8db691b1ad0613f07d67faf5efeb69d1942fbd65,1,1,3.781171046102205e-05,3.780612103765346e-05,5.589423368590474e-09
bc8bb153aff1b735fb7505d5d9ea76e9c0105a693a6b2cc7904fc5aa7805e8fd,1,1,1.3062464697677356e-06,1.2996756924565922e-06,6.5707773111434165e-09
50f346ec286769f776e9c50aecf827af7152e1586842ccc236f1ba8d3eaf914f,1,1,2.5232444019751554e-06,2.5168132527508824e-06,6.431149224273014e-09
489c711a9025dad6664cc40aae8d11c6a96d787b99ca0385b4585fc400bd86e3,1,1,0.00015296219275395817,0.00015295534680692668,6.8459470314863324e-09
54b03a43cdb17eeed62e6925e8eaeb8e50c26a3e77fca99dc872bc4d4a8a7180,1,1,0.0007665280420376952,0.0007665221060250693,5.936012625884501e-09
bd84296fd688fad21e1f7db8dfad7edd1bd68a9012268fff19d06b11329cc458,1,1,1.990694447506769e-06,1.9838986762832356e-06,6.7957712235333645e-09
8c6d15ed88e1b37d4815d2d02c1b16ac757f9f3182c88f5b48b4ab562475338e,1,1,1.6485688356659978e-06,1.6420076895951041e-06,6.561146070893642e-09
a528fb969044b63eeeb72cb2fb245373c2cb72d636d86e626f6951e822da424e,1,1,6.015509908419148e-06,6.008480959107665e-06,7.0289493114827906e-09
83be054fb92a50566896f819351d8f1fe667307ca12db03bdceaa3ca8efc1639,1,1,4.644670715259203e-06,4.637810095298178e-06,6.8606199610243834e-09
1fd884fe068979659cf8634fdb08fcc60a12c2c92bb40f945b6dc1ef8abe9fef,1,1,2.003074154321993e-06,1.998135735370443e-06,4.9384189515500054e-09
ec2788811a23c57c9ba96f73c33dc8daa34d78107cf371162dee54c9fe6a6982,1,1,1.343013915855451e-06,1.336326068523963e-06,6.687847331487973e-09
4d1b992aed05ee25212f9501432d71036f419d6fa22cc2e863831bd76a50983d,1,1,2.715764058747183e-06,2.7087052527074995e-06,7.058806039683674e-09
f07db2e680b48717a43fb89f2740bd1c3074351d9d87346788b05632b9722e28,1,1,2.401630814219402e-06,2.3945968990468636e-06,7.033915172538485e-09
550999529bbe2b84a21d1a55004483613b8c43eba9044b4bbf5ba09ad63c5eae,1,1,2.571987151256394e-06,2.5663416404198003e-06,5.6455108365938145e-09
555c46ad44b7af8d232d69a258bc091974ee3eb74ed51df2f5ea25f3106911c4,1,1,2.1433504330259368e-06,2.136695972931868e-06,6.6544600940687815e-09
772e500787426759ac6c00f21144cf56ae09059b654e154a226d250484c61962,1,1,2.6800518553304897e-06,2.673073724146491e-06,6.978131183998926e-09
e38dfdfff2fa4f07dd59069657ebf8b88aef8bcf8483b6df21f98377591af943,1,1,8.191322750938923e-05,8.190516132511316e-05,8.066184276067645e-09
e5159847665c424fba808ecf38e402d1b4ad80c0f84700e7018cb98fbb899c9d,1,1,1.9601625655951693e-06,1.9544828100404033e-06,5.679755554766075e-09
8001dfadcb35594bf3ad1e884e9785dbbde4c2719c81908774577c476feff235,1,1,2.9023860582677585e-06,2.896286868947495e-06,6.099189320263321e-09
422a368d12012319d1845f7d85fee0b54873ffaff07ea5a8edda0d1efcd4dc54,1,1,2.200659634854496e-06,2.1943007958435956e-06,6.358839010900397e-09
265e8599cf3bb8e12b572aa48a6bd00ec788b5d44bde9da92d21b4ef9346cc33,1,1,6.436753994365496e-06,6.4321223037788755e-06,4.631690586620607e-09
f94de7c32426fd023c19f51e2b1c90a589069ea4cec08359f3f5b5063baa9250,1,1,2.8476256620502127e-06,2.8420118259320226e-06,5.6138361181901075e-09
e6639e065c49a13c6761be05cc93394ed80926fbf68a32bda4d49eb7d1271eff,1,1,1.6793377577428714e-06,1.6724959350233881e-06,6.841822719483304e-09
b9ca05d1633c798cab0a2a8fbddad22cb5fd2278b135a161caa0a270887a58fb,1,1,2.4089131782645268e-06,2.4030711638367563e-06,5.842014427770437e-09
a0f4c4ae6ac2d8ae8b81c838ba6164915f7817a3bb858e354c7b924e65f7d19a,1,1,3.61681766947175e-06,3.609846921936999e-06,6.970747534751354e-09
8e4eaf4c69707bd0c97001dd5b9619fda6f8fbfeee725b474e48fad9be80c6b6,1,1,3.286901925081409e-06,3.2801833538265157e-06,6.718571254893391e-09
017de76ce5dfcfec7f159d04366042cc6e2d829d8c7f49de7be53b7c39d908e7,1,1,3.292252999220757e-06,3.286968870808149e-06,5.284128412608169e-09
67038a0d6d85601768c4014ed932188e69e719c9dcba7d9320cc8296da72f886,1,1,1.8706019637715343e-06,1.864870315892997e-06,5.731647878537416e-09
f8df41f4707fb4d7f2c13e75f91548349edb5d4a28915d315055c57fd8153340,1,1,1.5044496514127204e-06,1.4978816084143531e-06,6.568042998367218e-09
d330ebf3e4993705fc4ecdc0a4b8d657cd5d40541d33b625caf1d36c60533dbf,1,1,1.899922413284294e-06,1.8944869203396664e-06,5.43549294462764e-09
e9c37fe06e1f1db1cf065e54cff4ce8b929da783b278d2d7ee42d5b476215537,1,1,4.48781223139072e-06,4.482560596819063e-06,5.2516345716568935e-09
0cf9095570b70f933282126df0c75ae9d5b6696624f1145c1e8213630cf77afa,1,1,1.4574776575626558e-06,1.450535158209476e-06,6.9424993531796986e-09
e540a6f81fc67be4cdc69111327c8997015d65251128bd6ccf4f098f2f9da863,1,1,2.258926692366714e-06,2.2536222587521415e-06,5.304433614572446e-09
755b2a2edbf7c68335e253be7b675486a112f4851e7f72af5647b6a8d2e2ea41,1,1,1.3007720152113933e-06,1.2942225176559852e-06,6.549497555408124e-09
c5d24ac95257a9bf3da0ac55412c7b8e810f4e8ece0d9b81078050251998b150,1,1,2.917488559517345e-06,2.911488247159255e-06,6.000312358089843e-09
62d30beb20fce75d59c69a3d59b141b8c275e6bab861099661b8161bb1783476,1,1,1.5591473643272735e-06,1.5541298059584818e-06,5.017558368791697e-09
88db2285ed0bf06814282b398cae3159fb4ffc154e149168f17f091d301436d4,1,1,2.013931980182626e-06,2.006850539915117e-06,7.081440267509009e-09
b683ce8866060bd79cb782eea353a8c424058797061595e4a7f0e8e0302d48c7,1,1,3.374264752165068e-06,3.3688695353917275e-06,5.39521677334065e-09
5659e3f3080f24c64d77c8fb3f5f446ed56900c48ad628539edee4727c37f852,1,1,6.193346639538078e-06,6.188286887143235e-06,5.059752394842576e-09
ca16cc08b30bc2375d84b21e25e2f77fe856f71dc0415524e6efc745467feca2,1,1,4.042742684839951e-06,4.037194876571615e-06,5.5478082683357854e-09
840f1ae48da3436a58fea9c9f71e64c8af9cbff12238714b16934e8461cb62ac,1,1,9.332013555130025e-06,9.326991858737976e-06,5.02169639204908e-09
521006048353bdb66bd39eca9674c1d14457a7352d0d29e0670e2ea55d496672,1,1,1.5354801201628021e-06,1.5285229112427245e-06,6.957208920077562e-09
34b5b2541b9b22f6a5cd7239909dcc0711d5c9ad6aa0030daee4b53c0d1f14f0,1,1,1.3910160050478737e-06,1.3841598128783161e-06,6.856192169557573e-09
4e25731a7ed8ea6038550305de519b94b3f55430a3a2c8ce19409b1518c255f0,1,1,1.3456151796154003e-06,1.3397016214167223e-06,5.913558198678004e-09
ea96406449bbbe02724cc6a56fe350a915ad6c777154a468f57ec7b336feb79f,1,1,2.2233727559051175e-06,2.2179485059115045e-06,5.424249993613017e-09
577d7fa4c3c85fd53fe72594393daad40a56dc017ff098ca50dd5c5f2aee607f,1,1,2.382612621087965e-06,2.3773383103220525e-06,5.27431076591256e-09
24f7ce16a54af5191cd8140686e4922254a0b24133d2763bd39b7565d279043a,1,1,2.2496922894577054e-06,2.2433506823293925e-06,6.341607128312887e-09
e13fd1217f994ce74d14a49220f319b08555c0b538e1372a3319d36a35e1f5a2,1,1,7.087805828476235e-06,7.0823181337331675e-06,5.487694743067095e-09
b0b8ab9f30d1362e9446843936e0615eec89fe0ca442307cb1d7b9b419be3b34,1,1,1.9089730616261846e-06,1.9037505159524848e-06,5.222545673699841e-09
5a921d740a658e55572db9635db015eb41d70ac41a59f09dd2f4b43298d30be9,1,1,1.5618506623571449e-06,1.5548930588638044e-06,6.957603493340514e-09
1171ffe8579b6a8522e3e87f13d969c116614adc603188d3c1f1b7085c032389,1,1,2.04012723259428e-06,2.0331784026383914e-06,6.948829955888414e-09
3fcca5ae17d757b81324b8387035341eb4fa1213522db0b8f62222e1a53bff3a,1,1,1.773966856855047e-06,1.7687020003598342e-06,5.264856495212911e-09
66d0d9947e9dccc18dd020ed1671c7b2b1b98a5db0646eacf46b0e8ebac748cb,1,1,1.4439074592642598e-06,1.4378061895525818e-06,6.1012697116780146e-09
c50c7058e0bb033759946a8d954e113a3d5bbc0d957f36138be7b798fb4ade5b,1,1,1.8735516845724831e-06,1.8682637866751506e-06,5.2878978973325275e-09
3fbb56ea016c513a986b6a39828137c8a8b23c3e392fc589ebdb71af97eb74ab,1,1,2.9517317937655108e-06,2.945367517714903e-06,6.364276050607742e-09
b4e7c9ef8b17462ecb08bc7270eae424463f2bb440437fceed11d4ba2f1fcc91,1,1,8.116643532651846e-05,8.116310974515262e-05,3.3255813658428224e-09
adff13747df4f6b78f6a6ddb27f152bfaf0c0fa587951737c9392359b857d632,1,1,1.5668556648806842e-06,1.5609673321148598e-06,5.8883327658243445e-09
e1ed1770744508e5b53ec06af7850f54cfa1edbb9f45289a680306191465e4be,1,1,1.4063611596393244e-06,1.4000751150655688e-06,6.286044573755589e-09
5c0988d35cef69b191a02485b269a6b1cfece386eaad6982102df0841ec46993,1,1,3.948052254343359e-06,3.942395028211365e-06,5.657226131994264e-09
cd2734590a127fe1d7edd5e6994df3af7b2737b41fa4b2657eae97734d601272,1,1,3.5453057836143387e-06,3.54009040187675e-06,5.215381737588842e-09
0b69e78735c01e36d5b36b6704ed828ea3f803a9de227da7104f15556257c572,1,1,1.768212154695803e-06,1.7626605012810437e-06,5.551653414759272e-09
5dcfcf948765570edfd928e294b43911692ee23101c92c2ece61254224f4af34,1,1,1.6815326238095452e-06,1.6753082933140817e-06,6.224330495463448e-09
eb27826fe394281dd17e3b885dcf7ff96dbcc3e55f4ab2ac2a73fba1cbab96da,1,1,4.2835677033226105e-06,4.27815497294759e-06,5.412730375020658e-09
db356e47d9dcb9466bb258260f29a7e61f69cc3b0b5574eb5c029dcc5f48a067,1,1,1.700935017390215e-06,1.6943014745640639e-06,6.633542826151029e-09
